------ Viribus Build Process ------Sat, 22 May 2021 02:07:22 GMT: [OK] Starting build process.
Sat, 22 May 2021 02:07:22 GMT: [OK] Base.json file found.
Sat, 22 May 2021 02:07:22 GMT: [...] Updating Base.json
Sat, 22 May 2021 02:07:22 GMT: [OK] Starting build process.
Sat, 22 May 2021 02:07:22 GMT: [OK] Node.JS running on v12.18.2
Sat, 22 May 2021 02:07:22 GMT: [OK] The server will run on port 80
Sat, 22 May 2021 02:07:22 GMT: [OK] Java API Found.
Sat, 22 May 2021 02:07:22 GMT: [OK] C API Found.
Sat, 22 May 2021 02:07:22 GMT: [OK] C++ API Found.
Sat, 22 May 2021 02:07:22 GMT: [OK] Node.JS API Found.
Sat, 22 May 2021 02:07:22 GMT: [OK] Python API Found.
Sat, 22 May 2021 02:07:22 GMT: [OK] Loaded API configuration (Global)
Sat, 22 May 2021 02:07:22 GMT: [OK] API turned on.
Sat, 22 May 2021 02:07:22 GMT: [OK] Imported settings.
Sat, 22 May 2021 02:07:22 GMT: [INFORMATION] Build finished. It took -2.
Sat, 22 May 2021 02:07:22 GMT: [INFORMATION] Process built at C:\Users\Nate\Documents\viribus.
